question,keywords,advice,scene,priority
嗓子干痒怎么办,嗓子干痒,多喝35-40℃温水，每日1500-2000ml，小口慢饮；可含服温和润喉糖；避免频繁清嗓，用吞咽代替；室内湿度保持40%-60%,日常,高
嗓子疼怎么缓解,嗓子疼,急性疼痛期减少说话，必要时禁声；温盐水漱口（1/4茶匙盐+温水）；避免辛辣、过烫食物；可做喉部放松按摩,日常,高
声音嘶哑怎么办,声音嘶哑,立即休声，减少发声；雾化吸入生理盐水；避免用力清嗓；若超过72小时未恢复，及时就医,日常,高
如何科学用嗓,科学用嗓,采用腹式呼吸发声，喉部放松；避免长时间大声说话，每45分钟休息5分钟；音量不超80分贝；用扩音设备辅助,职业用嗓,高
教师如何护嗓,教师护嗓,每节课后声带休息5分钟；用麦克风扩音；避免连续大声讲课；课间做气泡音放松；常备温水,职业用嗓,高
主播/歌手护嗓方法,主播护嗓,每日练声不超1小时；避免硬挤高音；用腹式发声；演出前不喝冰饮；备润喉饮品,职业用嗓,高
用嗓过度后如何恢复,用嗓过度,立即禁声休息；温水润喉；做喉部放松训练；避免刺激性食物；严重时雾化治疗,用嗓后,高
胃酸反流伤嗓怎么办,胃酸反流,睡前3小时不进食；床头抬高15-20cm；避免咖啡、酒精、辛辣食物；少食多餐，晚餐七分饱,日常,中
如何预防嗓子发炎,预防咽炎,注意保暖，避免感冒；远离粉尘、二手烟；加强锻炼，提高免疫力；用嗓后及时补水,日常,高
慢性咽炎如何护嗓,慢性咽炎,长期保持喉部湿润；避免刺激物；规律作息；遵医嘱用中成药；定期做喉部检查,日常,中
感冒时如何护嗓,感冒护嗓,急性期减少说话；雾化治疗；避免含薄荷喉片；炎症期可含温和润喉糖；恢复期做发声训练,疾病期,高
嗓子有异物感怎么办,异物感,小口喝水吞咽；做轻柔哼鸣；避免频繁清嗓；若持续不适，就医检查是否有反流或炎症,日常,中
哪些食物护嗓,护嗓食物,多吃雪梨、银耳羹、百合粥、白萝卜汤；适量蜂蜜、柠檬温水；推荐麦冬、玄参、桔梗代茶饮,日常,高
哪些食物伤嗓,伤嗓食物,忌辛辣、油炸、过冷过热食物；少咖啡、浓茶、碳酸饮料；戒烟限酒；避免过甜或过咸食物,日常,高
护嗓茶饮推荐,护嗓茶饮,金银花菊花茶（清热利咽）；桔梗甘草茶（宣肺利咽）；麦冬玉竹茶（滋阴润燥）；胖大海罗汉果茶（润喉）,日常,中
频繁清嗓好不好,频繁清嗓,不好，会损伤声带；建议用温水吞咽或哼鸣代替；喉部不适时小口喝水缓解,日常,高
如何做喉部放松,喉部放松,双手轻拍颈部肌肉；喉结两侧轻轻按摩；打哈欠、吹气练习；晨起做气泡音训练,日常,中
什么是腹式发声,腹式发声,腹式发声，用膈肌发力，气流自下而上；喉部放松，不用嗓子硬喊；可通过深呼吸练习掌握,日常,中
室内环境如何护嗓,室内护嗓,湿度40%-60%，干燥时用加湿器；避免空调直吹；定期通风；远离粉尘和异味,日常,中
户外如何护嗓,户外护嗓,雾霾天戴N95口罩；冬季戴围巾护喉；干燥环境及时补水；避免在嘈杂处大声说话,日常,中
儿童如何护嗓,儿童护嗓,避免大喊大叫；少吃甜食和冷饮；感冒时及时休声；声音嘶哑超2周就医检查,儿童,中
老年人如何护嗓,老年人护嗓,每日做声带放松训练；控制用嗓时间；注意保暖防感冒；声音持续改变及时做CT检查,老年人,中
孕妇如何护嗓,孕妇护嗓,避免大声说话；用耳语式发声减少振动；多喝水；避免刺激物；遵医嘱用药,特殊人群,中
